
2024/04/29 (12:49:25) | ===> btop++ v.1.3.2
2024/04/29 (12:49:25) | ERROR: Stall in Runner thread, restarting!
2024/04/29 (12:54:24) | ERROR: Stall in Runner thread, restarting!

2024/04/29 (13:16:54) | ===> btop++ v.1.3.2
2024/04/29 (13:16:54) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/29 (13:16:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/29 (13:16:54) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/29 (13:16:54) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/29 (20:39:59) | ===> btop++ v.1.3.2
2024/04/29 (20:39:59) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/29 (20:39:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/29 (20:39:59) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/29 (20:39:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/01 (20:03:08) | ===> btop++ v.1.3.2
2024/05/01 (20:03:08) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/01 (20:03:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/01 (20:03:08) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/01 (20:03:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/05 (15:35:18) | ===> btop++ v.1.3.2
2024/05/05 (15:35:18) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/05 (15:35:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/05 (15:35:18) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/05 (15:35:18) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/06 (11:31:02) | ===> btop++ v.1.3.2
